,Unnamed: 0,participant,block,trial,direction,start_pos,start_pos_deg,t_start,t_end,stop_pos,stop_pos_deg,pos_pressed,pos_pressed_deg,error,error_deg,rt
12,12,P4,1,1,2,450.0,12.60412912808349,144.50207154399686,144.8523750759996,126.0,-3.5291561558633773,-56.0,-1.56851384705039,-70.0,-1.9606423088129872,-0.5866377369966358
13,13,P4,1,3,2,450.0,12.60412912808349,150.76889278499584,150.88593332899472,42.0,-1.1763853852877924,34.0,0.952311978566308,-76.0,-2.1286973638541,-0.2365571460031788
14,14,P4,2,2,2,450.0,12.60412912808349,191.28553928499605,191.5197174700006,84.0,-2.3527707705755847,-14.0,-0.3921284617625974,-70.0,-1.9606423088129872,-0.0195172640014789
15,15,P4,2,4,2,450.0,12.60412912808349,196.85160656799417,196.8363386239944,-0.0,0.0,53.0,1.4844863195298332,-53.0,-1.4844863195298332,-0.1514162530074827
16,16,P4,2,7,2,450.0,12.60412912808349,0.0,201.9524471909972,-126.0,3.5291561558633773,123.0,3.4451286283428204,3.0,0.0840275275205566,-0.2689653370034648
19,19,P4,2,3,2,450.0,12.60412912808349,218.98566392599605,219.102411035994,42.0,-1.1763853852877924,67.0,1.8766147812924308,-109.0,-3.053000166580223,-0.0695290110088535
23,23,P4,2,5,2,450.0,12.60412912808349,0.0,240.852508486998,-42.0,1.1763853852877924,100.0,2.800917584018553,-58.0,-1.6245321987307606,0.0970326210008352
25,25,P4,2,6,2,450.0,12.60412912808349,0.0,251.8851246359991,-84.0,2.3527707705755847,113.0,3.165036869940965,-29.0,-0.8122660993653803,-0.0864373329968657
26,26,P4,2,1,2,450.0,12.60412912808349,257.3029113359953,257.65200209199975,126.0,-3.5291561558633773,11.0,0.3081009342420408,-137.0,-3.8372570901054175,-0.0867771049961447
28,28,P4,3,5,2,450.0,12.60412912808349,0.0,297.0856444559977,-42.0,1.1763853852877924,95.0,2.660871704817626,-53.0,-1.4844863195298332,0.0643062469971482
29,29,P4,3,6,2,450.0,12.60412912808349,0.0,302.1027385169946,-84.0,2.3527707705755847,110.0,3.0810093424204084,-26.0,-0.7282385718448239,0.0813239739945856
